ticker_symbol,company_name,day_date,close_value,volume,open_value,high_value,low_value,month_day,Unnamed: 0,date,text,news_sentiment
TSLA,Tesla Inc,2019-01-01,332.8,6294298,337.79,339.21,325.26,01-01,1241.0,2020-01-01 00:00:00,sale doubled industry’s tipping point — severing tie gas pump — still lie ahead car help make happen electric vehicle watch,0.0
TSLA,Tesla Inc,2019-01-02,310.12,11611270,306.1,315.13,298.8,01-02,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-03,300.36,6948577,307.0,309.4,297.38,01-03,1239.0,2020-01-03 00:00:00,electriccar maker ended volatile year percent jump delivery sending share new high tesla report record output elon musk achieves goal,1.0
TSLA,Tesla Inc,2019-01-04,317.69,7382755,306.0,318.0,302.73,01-04,1246.0,2020-01-04 00:00:00,american also continuing buy ever bigger car price escalating faster overall inflation rate low rate cheap gas deeper debt sustain car buying boom,1.0
TSLA,Tesla Inc,2019-01-05,317.69,7382755,306.0,318.0,302.73,01-05,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-06,317.69,7382755,306.0,318.0,302.73,01-06,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-07,334.96,7542338,321.72,336.74,317.7508,01-07,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-08,335.35,6994427,341.96,344.01,327.02,01-08,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-09,338.53,5426618,335.5,343.5025,331.47,01-09,1244.0,2020-01-09 00:00:00,tech giant said would impose limit advertising despite pressure liberal conservative critic facebook won’t take misleading political ad,0.0
TSLA,Tesla Inc,2019-01-10,344.97,6049621,334.4,345.39,331.79,01-10,1251.0,2020-01-10 00:00:00,boeing released page internal message max congress didn’t make comfortable reading ‘this airplane designed clowns’,1.0
TSLA,Tesla Inc,2019-01-11,347.26,5035078,342.09,348.41,338.77,01-11,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-12,347.26,5035078,342.09,348.41,338.77,01-12,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-13,347.26,5035078,342.09,348.41,338.77,01-13,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-14,334.4,5232690,342.38,342.5,334.0,01-14,1252.0,2020-01-14 00:00:00,aventura mall near miami isn’t shy investing infrastructure widely considered one successful mall country dying mall one found way thrive,1.0
TSLA,Tesla Inc,2019-01-15,344.43,6047890,335.0,348.8,334.5,01-15,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-16,346.05,4677227,344.78,352.0,343.5,01-16,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-17,347.31,3661162,346.21,351.5,344.15,01-17,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-18,302.26,24079260,323.0,327.1297,299.7301,01-18,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-19,302.26,24079260,323.0,327.1297,299.7301,01-19,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-20,302.26,24079260,323.0,327.1297,299.7301,01-20,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-21,302.26,24079260,323.0,327.1297,299.7301,01-21,1247.0,2020-01-21 00:00:00,police raided office latest diesel investigation major carmaker adding trouble renaultnissanmitsubishi alliance mitsubishi target emissionscheating inquiry germany,1.0
TSLA,Tesla Inc,2019-01-22,298.92,12052130,304.82,308.0,295.5,01-22,1238.0,2020-01-22 00:00:00,chief executive could get stock award worth hundred million carmaker’s market capitalization sustained month ahead tesla value hit billion elon musk get big bonus,1.0
TSLA,Tesla Inc,2019-01-22,298.92,12052130,304.82,308.0,295.5,01-22,1248.0,2020-01-22 00:00:00,futuristic origin seat six passenger lack steering wheel require intensive testing regulatory scrutiny hit street gm’s cruise unveils selfdriving car don’t look road,0.0
TSLA,Tesla Inc,2019-01-23,287.59,12513080,292.5,294.5,281.69,01-23,1242.0,2020-01-23 00:00:00,china close city affected growing viral outbreak business leader world economic forum fear replay sars epidemic fear new coronavirus grip davos,1.0
